,arch,beta1,beta2,expert,dropout,end_idx,pad_idx,optimizer,scheduler,start_idx,beam_width,hidden_size,output_size,bidirectional,learning_rate,local_run_dir,decoder_layers,embedding_size,encoder_layers,label_smoothing,teacher_forcing,max_source_length,max_target_length,source_vocab_size,target_vocab_size,source_encoder_cls,features_vocab_size,features_encoder_cls,source_attention_heads,features_attention_heads,scheduler_kwargs/end_factor,scheduler_kwargs/start_factor,scheduler_kwargs/warmup_steps,scheduler_kwargs/min_learning_rate,scheduler_kwargs/total_decay_steps,scheduler_kwargs/reduceonplateau_mode,scheduler_kwargs/reduceonplateau_factor,scheduler_kwargs/check_val_every_n_epoch,scheduler_kwargs/reduceonplateau_patience,lr-Adam,val_loss,trainer/global_step,_step,epoch,_runtime,_timestamp,train_loss,val_accuracy.max,Name
13,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,52,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_13,4,256,4,0.1,True,128,128,126,52,TransformerEncoder,74,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.936389148235321,19999,1649,799,3308.9499843120575,1703044608.9887762,0.7090984582901001,0.8989999890327454,hun.trn
14,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,44,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_12,4,256,4,0.1,True,128,128,101,44,TransformerEncoder,58,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.8502353429794312,19999,1649,799,3306.715901851654,1703043795.0890348,0.6901414394378662,0.9210000038146972,hye.trn
15,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,104,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_11,4,256,4,0.1,True,128,128,122,104,TransformerEncoder,39,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,1.951616644859314,19999,1649,799,3001.7658700942993,1703043429.565303,0.7852603197097778,0.6639999747276306,grc.trn
16,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,31,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_10,4,256,4,0.1,True,128,128,73,31,TransformerEncoder,42,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.9008980989456176,19999,1649,799,2539.490620136261,1703042096.599806,0.6501131057739258,0.9200000166893004,heb_unvoc.trn
17,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,46,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_9,4,256,4,0.1,True,128,128,76,46,TransformerEncoder,32,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,1.0167930126190186,19999,1649,799,3203.4787862300873,1703042221.514644,0.695382833480835,0.8949999809265137,heb.trn
18,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,47,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_8,4,256,4,0.1,True,128,128,66,47,TransformerEncoder,24,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.95260751247406,19999,1649,799,3195.771756887436,1703041851.8909588,0.6984145641326904,0.843999981880188,fra.trn
19,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,40,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_7,4,256,4,0.1,True,128,128,128,40,TransformerEncoder,89,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.7852565050125122,19999,1649,799,3771.722643852234,1703041257.039023,0.6805264353752136,0.9629999995231628,fin.trn
20,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,65,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_6,4,256,4,0.1,True,128,128,92,65,TransformerEncoder,27,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,1.0843600034713743,19999,1649,799,3416.9521539211273,1703040391.106258,0.7349238991737366,0.8270000219345093,deu.trn
21,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,58,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_5,4,256,4,0.1,True,128,128,67,58,TransformerEncoder,10,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.8414470553398132,19999,1649,799,3073.910026073456,1703039514.003412,0.7220746874809265,0.9660000205039978,eng.trn
22,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,45,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_4,4,256,4,0.1,True,128,128,93,45,TransformerEncoder,54,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,1.2223172187805176,19999,1649,799,2999.636815071106,1703038985.7941232,0.6950777769088745,0.7620000243186951,bel.trn
23,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_3,4,256,4,0.1,True,128,128,71,43,TransformerEncoder,28,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.9247175455093384,19999,1649,799,2986.48878955841,1703038640.5475676,0.6886001229286194,0.912999987602234,dan.trn
24,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,219,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_2,4,256,4,0.1,True,128,128,198,219,TransformerEncoder,39,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,1.5807818174362185,19999,1649,799,2364.4951910972595,1703037451.5319362,0.8657975792884827,0.8289999961853027,amh.trn
25,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,47,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_1,4,256,4,0.1,True,128,128,74,47,TransformerEncoder,27,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,0.8335874676704407,19999,1649,799,2963.5750212669373,1703037719.3339212,0.6986104249954224,0.8859999775886536,arz.trn
26,transformer,0.9,0.98,,0.3,3,1,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/ed-results/sig-2023-ed/version_0,4,256,4,0.1,True,128,128,79,43,TransformerEncoder,31,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,0.000447493366309618,1.4730942249298096,19999,1649,799,2717.457461833954,1703036413.3539758,0.6906880140304565,0.7950000166893005,afb.trn
