"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_encoder_cls","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","lr-Adam","train_loss","trainer/global_step","val_loss"
"latvian","0.9810000061988832","799","finished","-","adamits","","2023-12-18T01:37:00.000Z","3495","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","41","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_19","128","128","adam","46","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","87","2","46","true","0.000447493366309618","0.6955393552780151","19999","0.735358476638794"
"lithuanian","0.962000012397766","799","finished","-","adamits","","2023-12-18T01:51:01.000Z","3526","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","38","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_21","128","128","adam","62","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","79","2","62","true","0.000447493366309618","0.7308651804924011","19999","0.8317185044288635"
"lower-sorbian","0.9869999885559082","799","finished","-","adamits","","2023-12-18T03:52:14.000Z","2752","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_40","128","128","adam","47","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","73","2","47","true","0.000447493366309618","0.6979528069496155","19999","0.7452298402786255"
"macedonian","0.9700000286102296","799","finished","-","adamits","","2023-12-18T01:38:33.000Z","3200","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_20","128","128","adam","61","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","92","2","61","true","0.000447493366309618","0.7279067635536194","19999","0.8271125555038452"
"navajo","0.9589999914169312","799","finished","-","adamits","","2023-12-18T02:06:39.000Z","3070","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_23","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","65","2","41","true","0.000447493366309618","0.6862586140632629","19999","0.8604863286018372"
"northern-sami","0.9810000061988832","799","finished","-","adamits","","2023-12-18T03:52:21.000Z","3073","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_41","128","128","adam","35","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","61","2","35","true","0.000447493366309618","0.6661985516548157","19999","0.7118101119995117"
"norwegian-bokmal","0.9200000166893004","799","finished","-","adamits","","2023-12-18T03:57:47.000Z","2994","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","25","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_43","128","128","adam","43","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","69","2","43","true","0.000447493366309618","0.6904809474945068","19999","0.7722241878509521"
"norwegian-nynorsk","0.9480000138282776","799","finished","-","adamits","","2023-12-18T03:43:36.000Z","2939","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_39","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","75","2","50","true","0.000447493366309618","0.7081478238105774","19999","0.789383590221405"
"persian","1","799","finished","-","adamits","","2023-12-18T02:02:33.000Z","3700","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","25","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_22","128","128","adam","40","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","64","2","40","true","0.000447493366309618","0.6787402629852295","19999","0.6906964778900146"
"polish","0.930999994277954","799","finished","-","adamits","","2023-12-18T02:12:53.000Z","3309","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_25","128","128","adam","62","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","97","2","62","true","0.000447493366309618","0.7301664352416992","19999","0.8962793350219727"
