"Name","epoch","val_accuracy.max","State","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","lr-Adam","train_loss","trainer/global_step","val_loss"
"lithuanian","799","0.9639999866485596","finished","2023-12-15T04:58:35.000Z","4967","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","38","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_33","128","128","adam","62","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","79","2","62","true","0.000447493366309618","0.7370439171791077","19999","0.8723679780960083"
"latvian","799","0.9829999804496764","finished","2023-12-15T04:48:49.000Z","4761","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","41","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_32","128","128","adam","46","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","87","2","46","true","0.000447493366309618","0.7016091346740723","19999","0.777145266532898"
"latin","799","0.8460000157356262","finished","2023-12-15T03:00:53.000Z","3974","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","37","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_20","128","128","adam","60","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","88","2","60","true","0.000447493366309618","0.7355636954307556","19999","0.9143788814544678"
"kurmanji","799","0.925000011920929","finished","2023-12-15T18:37:24.000Z","7850","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","35","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_64","128","128","adam","81","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","116","2","81","true","0.000447493366309618","0.7692943811416626","19999","0.8992560505867004"
"khaling","799","0.9800000190734864","finished","2023-12-15T04:21:18.000Z","3373","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_30","128","128","adam","36","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","60","2","36","true","0.000447493366309618","0.6701543927192688","19999","0.7958886623382568"
"italian","799","0.984000027179718","finished","2023-12-15T02:54:51.000Z","4152","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_19","128","128","adam","34","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","51","2","34","true","0.000447493366309618","0.6661602258682251","19999","0.7387784719467163"
"irish","799","0.9380000233650208","finished","2023-12-15T04:04:14.000Z","4746","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","39","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_27","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","97","2","59","true","0.000447493366309618","0.7317677736282349","19999","0.9222251772880554"
"icelandic","799","0.9210000038146972","finished","2023-12-15T02:42:54.000Z","4160","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","25","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_18","128","128","adam","57","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","84","2","57","true","0.000447493366309618","0.7304073572158813","19999","0.9283862113952636"
"hungarian","799","0.8790000081062317","finished","2023-12-15T01:42:15.000Z","4346","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","39","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_12","128","128","adam","61","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","100","2","61","true","0.000447493366309618","0.735517144203186","19999","0.8945684432983398"
"hindi","799","0.9959999918937684","finished","2023-12-15T04:07:17.000Z","4484","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","29","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_29","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","84","2","59","true","0.000447493366309618","0.7244091629981995","19999","0.7574641704559326"
"hebrew","799","0.9890000224113464","finished","2023-12-15T03:54:36.000Z","4219","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","28","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_26","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","59","2","33","true","0.000447493366309618","0.6622779965400696","19999","0.7435258626937866"
"haida","799","0.9900000095367432","finished","2023-12-15T01:34:37.000Z","3511","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_11","128","128","adam","34","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","66","2","34","true","0.0005273759897558777","0.6632984280586243","14399","0.765914797782898"
"german","799","0.9120000004768372","finished","2023-12-15T02:33:20.000Z","5585","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","22","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_17","128","128","adam","71","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","91","2","71","true","0.000447493366309618","0.7564468383789062","19999","0.911133348941803"
"georgian","799","0.9919999837875366","finished","2023-12-15T03:54:06.000Z","4534","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","32","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_25","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","70","2","38","true","0.000447493366309618","0.6781705021858215","19999","0.7316448092460632"
"french","799","0.921999990940094","finished","2023-12-15T03:52:25.000Z","3959","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_24","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","68","2","50","true","0.000447493366309618","0.7120071053504944","19999","0.9429969787597656"
"finnish","799","0.9639999866485596","finished","2023-12-15T01:18:08.000Z","5073","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","41","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_10","128","128","adam","56","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","96","2","56","true","0.000447493366309618","0.7253740429878235","19999","0.80412757396698"
"faroese","799","0.8980000019073486","finished","2023-12-15T08:08:17.000Z","5027","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_57","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","68","2","38","true","0.000447493366309618","0.6846640706062317","19999","0.8599371910095215"
"estonian","799","0.9860000014305116","finished","2023-12-15T02:15:59.000Z","4406","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","40","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_16","128","128","adam","31","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","70","2","31","true","0.000447493366309618","0.6567615270614624","19999","0.7165257930755615"
"english","799","0.9629999995231628","finished","2023-12-15T01:09:02.000Z","4005","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","11","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_9","128","128","adam","69","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","80","2","69","true","0.000447493366309618","0.747793436050415","19999","0.865199089050293"
"dutch","799","0.9739999771118164","finished","2023-12-15T02:13:50.000Z","4998","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_15","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","82","2","59","true","0.000447493366309618","0.729727029800415","19999","0.8079462051391602"
"danish","799","0.962000012397766","finished","2023-12-15T01:58:55.000Z","4491","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","20","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_14","128","128","adam","49","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","69","2","49","true","0.000447493366309618","0.70779949426651","19999","0.780871570110321"
"czech","799","0.9350000023841858","finished","2023-12-15T01:51:03.000Z","4177","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","37","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_13","128","128","adam","68","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","104","2","68","true","0.000447493366309618","0.7447288036346436","19999","0.8599368333816528"
"catalan","799","0.9869999885559082","finished","2023-12-15T00:49:49.000Z","5029","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","26","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_8","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","65","2","41","true","0.000447493366309618","0.6863387823104858","19999","0.7561405897140503"
"bulgarian","799","0.9800000190734864","finished","2023-12-15T00:47:09.000Z","4295","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_7","128","128","adam","36","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","69","2","36","true","0.000447493366309618","0.6722498536109924","19999","0.7317606210708618"
"bengali","799","0.9900000095367432","finished","2023-12-15T00:44:54.000Z","1984","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_6","128","128","adam","53","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","83","2","53","true","0.000674621632828213","0.7166502475738525","8799","0.8272831439971924"
"basque","799","0.9900000095367432","finished","2023-12-15T00:44:40.000Z","3444","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_5","128","128","adam","23","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","58","2","23","true","0.000447493366309618","0.6148766875267029","19999","0.6797786355018616"
"armenian","799","0.9700000286102296","finished","2023-12-15T07:31:06.000Z","4278","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","42","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_50","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","90","2","50","true","0.000447493366309618","0.7102950215339661","19999","0.836546778678894"
"arabic","799","0.968999981880188","finished","2023-12-15T07:19:22.000Z","5493","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_49","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","83","2","50","true","0.000447493366309618","0.7108935713768005","19999","0.8254780769348145"
"albanian","799","0.9639999866485596","finished","2023-12-15T00:44:38.000Z","3973","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","31","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only/version_4","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","63","2","33","true","0.000447493366309618","0.6600062251091003","19999","0.86199951171875"
