"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","val_out","lr-Adam","train_loss","trainer/global_step","val_loss"
"serbo-croatian","0.9300000071525574","799","finished","-","adamits","","2023-12-16T10:13:55.000Z","4474","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","40","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_51","128","128","adam","94","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","108","2","94","true","validation_preds","0.000447493366309618","0.783972442150116","19999","0.9954603910446168"
"russian","0.9279999732971193","799","finished","-","adamits","","2023-12-16T07:54:49.000Z","4376","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_36","128","128","adam","58","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","91","2","58","true","validation_preds","0.000447493366309618","0.7355791330337524","19999","1.0030841827392578"
"hebrew","0.9890000224113464","799","finished","-","adamits","","2023-12-16T05:16:12.000Z","4227","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","28","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_18","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","59","2","33","true","validation_preds","0.000447493366309618","0.6630242466926575","19999","0.7101707458496094"
"sorani","0.9070000052452089","799","finished","-","adamits","","2023-12-16T08:38:42.000Z","3588","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","38","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_39","128","128","adam","40","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","78","2","40","true","validation_preds","0.000447493366309618","0.6874805092811584","19999","0.8712815046310425"
"icelandic","0.9229999780654908","799","finished","-","adamits","","2023-12-16T05:52:03.000Z","3641","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","25","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_21","128","128","adam","57","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","84","2","57","true","validation_preds","0.000447493366309618","0.735657811164856","19999","0.903891623020172"
"norwegian-nynorsk","0.9369999766349792","799","finished","-","adamits","","2023-12-16T09:38:53.000Z","3591","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_47","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","75","2","50","true","validation_preds","0.000447493366309618","0.7156656980514526","19999","0.8111081123352051"
"welsh","1","799","finished","-","adamits","","2023-12-16T09:07:56.000Z","3146","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","22","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_45","128","128","adam","31","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","47","2","31","true","validation_preds","0.000447493366309618","0.6523876786231995","19999","0.6877270340919495"
"quechua","1","799","finished","-","adamits","","2023-12-16T07:44:00.000Z","3540","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","50","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_34","128","128","adam","27","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","77","2","27","true","validation_preds","0.000447493366309618","0.6349010467529297","19999","0.6620334386825562"
"spanish","0.9649999737739564","799","finished","-","adamits","","2023-12-16T08:43:11.000Z","3481","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_40","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","60","2","38","true","validation_preds","0.000447493366309618","0.6779484152793884","19999","0.8808332681655884"
"navajo","0.9390000104904176","799","finished","-","adamits","","2023-12-16T07:01:30.000Z","3614","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_30","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","65","2","41","true","validation_preds","0.000447493366309618","0.6945005059242249","19999","0.8920371532440186"
