"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","val_out","lr-Adam","train_loss","trainer/global_step","val_loss"
"albanian","0.972000002861023","799","finished","-","adamits","","2023-12-18T20:59:21.000Z","4275","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","31","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_0","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","63","2","33","true","validation_preds","0.000447493366309618","0.6597710251808167","19999","0.836002767086029"
"arabic","0.9710000157356262","799","finished","-","adamits","","2023-12-18T20:59:21.000Z","6086","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_0","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","83","2","50","true","validation_preds","0.000447493366309618","0.7090914249420166","19999","0.8166717290878296"
"armenian","0.9739999771118164","799","finished","-","adamits","","2023-12-18T20:59:21.000Z","4468","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","42","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_0","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","90","2","50","true","validation_preds","0.000447493366309618","0.7098891735076904","19999","0.8076608180999756"
"basque","0.9900000095367432","799","finished","-","adamits","","2023-12-18T20:59:21.000Z","3522","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_0","128","128","adam","23","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","58","2","23","true","validation_preds","0.000447493366309618","0.6144161820411682","19999","0.7667551040649414"
"bengali","0.9900000095367432","799","finished","-","adamits","","2023-12-18T20:59:21.000Z","2112","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_0","128","128","adam","53","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","83","2","53","true","validation_preds","0.000674621632828213","0.716936469078064","8799","0.8077715039253235"
"bulgarian","0.9729999899864196","799","finished","-","adamits","","2023-12-19T16:58:53.000Z","4682","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_53","128","128","adam","36","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","69","2","36","true","validation_preds","0.000447493366309618","0.6720313429832458","19999","0.7550203204154968"
"catalan","0.9890000224113464","799","finished","-","adamits","","2023-12-18T21:58:23.000Z","4043","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","26","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_2","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","65","2","41","true","validation_preds","0.000447493366309618","0.6866638660430908","19999","0.7620875239372253"
"czech","0.9419999718666076","799","finished","-","adamits","","2023-12-19T07:32:58.000Z","4557","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","37","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_44","128","128","adam","68","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","104","2","68","true","validation_preds","0.000447493366309618","0.7435797452926636","19999","0.868820309638977"
"danish","0.9629999995231628","799","finished","-","adamits","","2023-12-18T22:10:55.000Z","4988","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","20","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_4","128","128","adam","49","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","69","2","49","true","validation_preds","0.000447493366309618","0.7071101665496826","19999","0.8034437894821167"
"dutch","0.975000023841858","799","finished","-","adamits","","2023-12-19T07:39:29.000Z","4412","","decoder_only_transformer","1","0.9","0.98","true","8","0.3","256","2","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-8-layers-8-heads/version_45","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","82","2","59","true","validation_preds","0.000447493366309618","0.7282245755195618","19999","0.8046368956565857"
