"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","val_out","lr-Adam","train_loss","trainer/global_step","val_loss"
"albanian","0.9520000219345092","799","finished","-","adamits","","2023-12-15T20:25:55.000Z","3427","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","31","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","63","2","33","true","validation_preds","0.000447493366309618","0.6621747016906738","19999","0.8119179010391235"
"arabic","0.9660000205039978","799","finished","-","adamits","","2023-12-15T20:25:55.000Z","4129","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","83","2","50","true","validation_preds","0.000447493366309618","0.716403603553772","19999","0.8084419369697571"
"armenian","0.968999981880188","799","finished","-","adamits","","2023-12-15T20:25:55.000Z","3552","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","42","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","90","2","50","true","validation_preds","0.000447493366309618","0.7160704731941223","19999","0.8361519575119019"
"basque","0.949999988079071","799","finished","-","adamits","","2023-12-15T20:25:56.000Z","4119","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","23","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","58","2","23","true","validation_preds","0.000447493366309618","0.6151029467582703","19999","0.8120006918907166"
"bengali","0.9900000095367432","799","finished","-","adamits","","2023-12-15T20:25:55.000Z","2114","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","53","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","83","2","53","true","validation_preds","0.000674621632828213","0.7166327238082886","8799","0.8318731784820557"
"bulgarian","0.9829999804496764","799","finished","-","adamits","","2023-12-15T20:25:55.000Z","4486","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","36","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","69","2","36","true","validation_preds","0.000447493366309618","0.6766749620437622","19999","0.7284713983535767"
"catalan","0.9850000143051147","799","finished","-","adamits","","2023-12-15T20:25:55.000Z","3515","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","26","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_0","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","65","2","41","true","validation_preds","0.000447493366309618","0.6889105439186096","19999","0.7686269283294678"
"czech","0.9259999990463256","799","finished","-","adamits","","2023-12-15T20:48:25.000Z","3741","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","37","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_1","128","128","adam","68","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","104","2","68","true","validation_preds","0.000447493366309618","0.7528557777404785","19999","0.8664330244064331"
"danish","0.9549999833106996","799","finished","-","adamits","","2023-12-16T02:41:46.000Z","4512","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","20","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_46","128","128","adam","49","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","69","2","49","true","validation_preds","0.000447493366309618","0.7174133062362671","19999","0.7944945096969604"
"dutch","0.959999978542328","799","finished","-","adamits","","2023-12-15T21:34:46.000Z","4363","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers/version_7","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","82","2","59","true","validation_preds","0.000447493366309618","0.7392264604568481","19999","0.8517776727676392"
